,11-1-2 1%6 ¼1 lhesaV % 6 eksVh jsr ½,oxZ eh0,0-1285,,
11-3,lhesaV dadzhV 1%2%4 dk Q”kZ cukuk,,,,
,11-3-1 40 feeh- eksVk] 20 feeh- ukeh; uki okys iRFkj ds feykos ls,oxZ eh0,0-17,,
11-4,lhesaV dadzhV dk 52 feeh- eksVk Q”kZ cukuk,oxZ eh0,0-231,,
11-5,lhesaV dadzhV dk 62 feeh- eksVk Q”kZ cukuk,oxZ eh0,0-263,,
11-6,lhesaV iyLrj dh fdukjh 1%3 lhesaV daØhV lfgr,oxZ eh0,0-14,,
11-7,lhesaV dadzhV 1%2%4 dh Q”kZcUnh,?ku eh0,3-20,,
,Vjktks Q”kZ,,,,
11-9,40 feeh- eksVk laxejej ds nkuksa dk Q”kZ cukuk ftldh uhps dh 34 feeh- eksVh ijr lhesaV dadzhV ¼1%2%4½ lfgr,,,,
,11-9-1 Xkgjs jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1695,,
,11-9-2 gYds jax dk jatd feykdj lQsn lhesaV ls,oxZ eh0,0-129$0-0405*,,
,11-9-3 e/;e jax dk jatd feykdj 50%lQsn lhesaV vkSj,,,,
,50%lk/kkj.k lhesaV ls,oxZ eh0,0-1492$0-0202*,,
,"11-9-4 fcuk dksbZ jatd feyk, lQsn lhesaV ls",oxZ eh0,0-129$0-0202*,,
,11-9-5 gYds jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1695,,
,"11-9-6 fcuk dksbZ jatd feyk, lk/kkj.k lhesaV ls",oxZ eh0,0-1695,,
11-10,40 feeh- eksVk laxejej ds nkuksa dk Q”kZ fcNkuk] ftldh uhps dh 31 lseh- eksVh ijr lhesaV dadzhV 1%2%4 lfgr,,,,
,11-10-1 Xkgjs jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1783,,
,11-10-2 gYds jax dk jatd feykdj lQsn lhesaV ls,oxZ eh0,0-1205$0-0578*,,
,11-10-3 e/;e jax dk jatd feykdj 50%lQsn lhesaV vkSj 50% lk/kkj.k lhesaV ls,oxZ eh0,0-1494$0-0289*,,
,"11-10-4 fcuk dksbZ jatd feyk, lQsn lhesaV ls",oxZ eh0,0-1205$0-0578*,,
,11-10-5 gYds jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1783,,
,"11-10-6 fcuk dksbZ jatd feyk, lk/kkj.k lhesaV ls",oxZ eh0,0-1783,,
11-11,40 feeh- eksVk laxejej ds nkuksa dk Q”kZ fcNkuk] ftlds uhps dh 28 feeh- eksVh ijr lhesaV daØhV 1%2%4 lfgr,,,,
,11-11-1 Xkgjs jax dk jatd feykdj lk/kkj.k lhesaV ls,oxZ eh0,0-1907,,
,11-11-2 gYds jax dk jatd feykdj lQsn lhesaV ls,oxZ eh0,0-1097$0-081*,,
,11-11-3 e/;e jax dk jatd feykdj 50%lQsn lhesaV vkSj 50%,,,,
,lk/kkj.k lhesaV ls,oxZ eh0,0-1502$0-0405*,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
,11-19-2 e/;e jax dh gks vkSj 50%lQsn lhesaV vkSj 50%lk/kkj.k lhesaV yxk gks,,0-0917$0-024*,,
,11-19-3 Xkgjs jax dh gks vkSj lk/kkj.k lhesaV yxk gks,,0-0939,,
,11-19-4 fcuk dksbZ jatd ds lQsn lhesaV dh gks,,0-0939,,
11-20,Pkj[kkusnkj iwoZfufeZr lhesaV dadzhV Vkbysa 22 fe-eh- eksVh QqVikFk vkSj lhesaV elkys ¼1%4½ ds 20 feeh- eksVs vk/kkj ij yxh gksA,,,,
,11-20-1 gYds jax dh gks vkSj lhesaV yxk gks,oxZ eh0,0-1291$0-066*,,
,11-20-2 e/;e jax dh gks vkSj 50%lQsn lhesaV vkSj 50%xzs lhesaV yxk gks,oxZ eh0,0-1621$0-033*,,
,11-20-3 Xkgjs jax dh gks vkSj lk/kkj.k lhesaV yxk gks,oxZ eh0,0-1951,,
,11-20-4 fcuk dksbZ jatd ds lQsn lhesaV dh gks,oxZ eh0,0-1951,,
11-21,10 fe-eh- eksVh vEy vkSj vFkok {kkj jks/kh Vkbyksa dh O;oLFkk djuk rFkk mUgsa yxkukA,,,,
,11-21-1 Q”kZcUnh vk/kkj ij 10 fe-eh- eksVs 1%4 ¼1 vEy izos”k u djus ;ksX; lhesaV % 4 eksVh jsr½ ds elkys ls,,,,
,11-21-1-1 vEy vkSj {kkjjks/kh Vkbysa,oeZ eh0,0-0786,,
,11-21-2 MSMks@{kkj jks/kh Vkbysa 1%4 ¼1 vEy izos”k u djus ;ksX; lhesaV% 4 eksVh jsr½ ds elkys ls,,,,
,11-21-2-1 vEy vkSj {kkjjks/kh Vkbysa,oxZ eh0,0-0862,,
11-22,Åij fdukjksa] isfM+;ksa bR;kfn esa 8 fe-eh- eksVk laxejej Vkby dk;Z iRFkj Q”kZ cUnh,oxZ eh0,0-1044,,
11-23,18 fe-eh- eksVs vk/kkj ij laxejej ds iRFkj ls laxejej dk Q”kZ cukuk] ¼1%4½ lhesaV elkys ls 20 fe-eh- eksVs elkys lfgr,oxZ eh0,0-13512,,
,dksVk iRFkj dk Q”kZ cukuk,,,,
11-26,20 fe-eh- eksVs vk/kkj ij dksVk iRFkj ds ifV;ksa dk Q”kZ cukuk] ¼1%4½ lhesaV elkys ls 20 fe-eh- eksVs elkys lfgr,oxZ eh0,0-1491,,
11-27,dksVk iRFkj ds ifV;s 20 fe-eh- eksVs] isfM+;ksa ds [kM+&iV~Vksa] fdukjh bR;kfn ij 1%3 ds 12 fe-eh- ¼vkSlr½ eksVs elkys lfgr,oxZ eh0,0-1374,,
,cyqvk iRFkj dk Q”kZ cukuk,,,,
11-28,eghu x<+s iRFkj dk 40 feeh- eksVk Q”kZ cukuk 20 fe-eh-¼vkSlr½ eksVs vk/kkj ij lhesaV elkys 1%5 dh laf/k;ksa Hkjdj cjkcj dh gqbZ,oxZ eh0,0-0775,,
11-29,eghu x<+s iRFkj dk 40 fe-eh- eksVk Q”kZ cukuk] 20 fe-eh- ¼vkSlr½ vk/kkj 1%5 lhesaV elkys ls lhesaV elkys 1%2 dh Vhi lfgrA,oxZ eh0,0-0931,,
11-30,eghu x<+s vkSj fNys iRFkj dk 40 fe-eh- eksVk Q”kZ cukuk] 20 fe-eh-,,,,
,¼vkSlr½ vk/kkj ij] laf/k;ksa 3 fe-eh- pkSM+h lhesaV elkys 1%2 ls Hkjh gqbZ,,,,
,vkSj lhesaV elkys 1%5 ds vk/kkj lfgr,oxZ eh0,0-0931,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
,phuh feV~Vh dh dafpr Vkbysa,,,,
11-37,phuh feV~Vh dh dkafpr Q'kZVkbyksa dh O;oLFkk djuk vkSj fcNkuk] lhesaV elkyk ¼1%4½ dk 20 feeh- eksVk vk/kkj ij3-3 fd-xzk-@oxZ eh- dh nj ls xzs lhesaV dh Lyjh ds lkFk,oxZ eh-,0-1242,,
11-38,phuh feV~Vh dh dkafpr Q'kZVkbyksa dh O;oLFkk djuk vkSj fcNkuk] lhesaV elkyk ¼1%4½ dk 20 feeh- eksVs vk/kkj ij3-3 fd-xzk-@oxZ eh- dh nj ls xzs lhesaV dh Lyjh ds lkFk,oxZ eh-,0-1242,,
11-39 o,ifjjksfNr phuh feV~Vh dh dkafpr Q”kZ Vkbyksa dh O;oLFkk djuk vkSj,,,,
11-40,fcNkuk] lhesaV elkyk ¼1%4½ dk 20 feeh- eksVs vk/kkj dk,oxZ eh-,0-1242,,
,foVªhQkbZM ¼dkfpr½ ry VkbZy,,,,
11-41,"¼1%4½ ds vuqikr ds lhesaV elkys ds lkFk 20 fe-eh- eksVh ijr ij foVªhQkbZM ry Vkbyksa dh O;oLFkk djuk ,oa yxkukA",oxZ eh0,0-1242,,
11-44,dzsth phuh feV~Vh VkbZy Q”kZ,OkxZ eh0,0-0646,,
11-46,"¼1%3½ ds vuqikr ds lhesaV elkys ds lkFk foVªhQkbZM fdukjksa dh O;oLFkk djuk ,oa yxkukA",oxZ eh0,0-088,,
11-51,"e”khudV fejj ikfy”k bVSfy;u ekcZy LVksu Q”kZ dh O;oLFkk djuk ,oa yxkuk",oxZ eh0,0-085$0-05*,,
11-52,"e”khu dV fejj ikfy”k ekcZy LVksu dh O;oLFkk djuk ,oa yxkuk",oxZ eh0,0-085$0-05*,,
11-55,¶ysEMfQfu”k xzsukbV LVksu Q”kZ dh O;oLFkk djuk o yxkuk,100 oxZ eh-,13-50,,
11-56,ikWfyLM xzsukbV LVksu Q”kZ dh O;oLFkk djuk o yxkuk,100 oxZ eh-,13-50,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
12-16,10 ls-eh- ¼vkSlr½ eksVkbZ dk xkjk Qldk] likV Vkby bZVsa irys elkys ds lkFk ¼1%3½ ds lhesaV elkys esaA,100 oxZ eh0,3-11,,
12-17,10 ls-eh- ¼vkSlr½ eksVkbZ dk xkjk Qldk] e”khu xf<+r Vkby bZVas irys elkys ds lkFk ¼1%3½ ds lhesaV elkys esaA,100 oxZ eh0,3-11,,
12-19,"eeVh Nrksa ds mij bZaV Vkbyksa dh O;oLFkk djuk ,oa fcNkuk vkSj ¼1%3½ lhesaV elkys lfgr A",100 oxZ eh0,9-13,,
12-20,"Nrksa ds mij laihfMr e`fRrdk Vkbyksa dh O;oLFkk djuk ,oa fcNkuk vkSj ¼1%4½ lhesaV elkys lfgr A",100 oxZ eh0,9-92,,
12-21,lhesaV dadzhV 1%2%4 ds 75×75 fe-eh- xksys dh O;oLFkk djuk,ehVj,0-031,,
12-22,45×45 ls-eh- dk de ls de 5 ls-eh- vkSlr eksVk [kqjkZ cukuk] lhesaV dadzhV ¼1%2%4½ lfgr,izR;sd,0-06,,
12-23,Ckyqvk iRFkj ifV;ksa Nr dh O;oLFkk djuk vkSj ¼1%4½ dk lhesaV elkyk fcNkuk,100 oxZ eh0,0-74,,
12-38,uje bLikr dh idM+ ifV~V;ksa dh O;oLFkk djuk vkSj lhesaV dadzhV 1%2%4 ds 10×10×10 ls-eh- fiMdksa esa,izR;sd,0-005,,
12-55,"Nr esa rki izfrjks/kh Vkbysa lhesaV elkys ¼1%4½ lfgr O;oLFkk djuk ,oa fcNkuk vkSj lQsn lhesaV laxejej ls tksM+ksa dks Hkjuk",oxZ eh0,0-1367,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
,rkjcUnh ¼gncUnh½,,,,
16-23,lhesaV ds elkys ¼1%3½ dk lekIr lery laiwrhZ lfgr lhek iRFkj dh O;oLFkk djkuk o yxkuk,izR;sd,0-082,,
16-24,lhesaV elkys esa lery laiwrhZ lfgr iwoZ rS;kj vkj- lh- lh- fdeh- iRFkj dh O;oLFkk djkuk o yxkuk,,,,
,16-24-1 35×111×25 lseh- vkdkj,izR;sd,0-37,,
,16-24-2 50×152-5×25 lseh- vkdkj,izR;sd,0-698,,
,16-24-3 35×93-5×18 lseh- vkdkj,izR;sd,0-23,,
,dadjhV iVfj;k¡,,,,
16-42,iVfj;ksa esa lheasV dadjhV iVfj;k¡ ¼1%2%4½,?ku eh-,3-20,,
16-43,"jksM@ VSDlh iFk@¼ekxZ½ juos esa vfHkdYiu feJ.k ds vuqlkj lhesaV vo;o dk iz;ksx djrs gq,M-30xzsM dk vfHkdYi fefJr lhesaV dadjhV miyC/k djkuk o Mkyuk",,3-40,,
16-45,"çHkkjh vfHk;ark ds funsZ'kkuqlkj] mPp nkc okys ,;j tsV Dyhuj ls tksM+ksa dks /kwy eqä djus ds ckn vkjlhlh lM+dksa@lhlh QqVikFkksa ds foLrkj tksM+ksa ds fy, çh&eksYMsM TokbaV fQyj miyC/k djkuk vkSj fQDl djukA ¼çh&eksYMsM ToktbaV fQyj 35% ls vf/kd varosZ'ku okys fcVqesu g‚V lhfyax daikmaM varHkZfjr Qkbcj cksMZ ls cus gksaxs] tks fd Qkbcj cksMZ ds fy, vkbZ,l%1838 vkSj g‚V lhfyax fcVqesu daikmaM xzsM , ds fy, vkZbZ,l% 1834 ds vuq:i gksa½A",?ku eh- çfr lseh pkSM+kbZ çfr lseh xgjkbZ çfr ehVj yackbZ,4-70,,
16-46,"çHkkjh vfHk;ark ds funsZ'kkuqlkj lHkh iw.kZ lM+dksa@QqVikFkksa esa foLrkj tksM+ksa dks lhy djus ds fy, jcj;qä fcVqesu g‚V lhfyax daikmaM miyC/k djkuk vkSj ;Fkk fLFkfr ij HkjukA",,,,
,"16-46-1 vkbZ,l% 1834 ds vuq:i xzsM ^,^ lhfyax daikmaM dk mi;ksx djukA",çfr lseh pkSM+kbZ çfr lseh xgjkbZ çfr ehVj,,,
,,yackbZ,7-50,,
,fofo/k,,,,
16-49,"?kaVk eq[kh vkdkj ds fy, lheasV dadjhV ¼1%3%6½ ,oa lhesaV elkys ¼1%3½ lfgr IyLrj djus dh O;oLFkk djuk",10 ua0,6-60,,
16-52,iSny iFk ¼QqVikFk½ esa 10 feeh dh eksVkbZ ds lheasV elkys ¼1%3½ dh Qhfuf”kax ds lkFk iwoZ fojfpr ykbe jk[k dadjhV Cykd dh O;oLFkk djuk o rS;kj djuk,oxZ eh-,0-05,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
17-13,lQsn dkap phuh feVVh ds tyjks/kd fcBko ifVVdk ¼LDoSfVax iSu½ yxkuk,izR;sd,0-025,,
17-17,lQsn dkap phuh feVVh ds inkjke ds tksMs yxkuk,izR;sd,0-025,,
17-23,lQsn dkap phuh feVVh dh ¶ySV ¼likV½ ew=nkuh yxkuk,izR;sd,0-01,,
17-24,lQsn dkap feVVh pkbZuk fcBko ifVVdk ew=nkuh yxkuk,izR;sd,0-02,,
17-25,lQsn dkap feVVh pkbZuk gLr izPNkyu nku fpyeph yxkuk,izR;sd,0-015,,
17-26,jlksbZ flad yxkuk,izR;sd,0-015,,
17-27,jlksbZ flad yxkuk,izR;sd,0-015,,
17-37,",e ,l gksYMj cVs DySisal yxkuk",izR;sd,0-005,,
17-59,",e ,l LVs;l ,oa DySisal yxkuk",izR;sd,0-005,,
17-60,Lor% lQkbZ vfHkdYi ds VSªi yxkuk,izR;sd,0-025,,
17-61,"Ckyw <+ys vidsUnzh;rk jpuk ¼Hkfe fof/k½ yksgs ds uy ¼ikbi½ ,oaCC ¼1%3%6½ feJ.k ds leku jpuk rS;kj djus ds fy;s bZVksa ds dk;Z ls dfVax pSlst cukuk",,,,
,17-61-1 100 feeh- O;kl,100 eh-,5-40,,
,17-61-2 75 feeh- O;kl,100 eh-,3-70,,
,17-61-3 50 feeh- O;kl,100 eh-,1-87,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
,19-6-9 800 feeh O;kl vkj lh lh ikbi,100 eh,4-20,,
,19-6-10 900 feeh O;kl vkj lh lh ikbi,100 eh,4-90,,
,19-6-11 1000 feeh O;kl vkj lh lh ikbi,100 eh,5-50,,
,19-6-12 1100 feeh O;kl vkj lh lh ikbi,100 eh,6-10,,
,19-6-13 1200 feeh O;kl vkj lh lh ikbi,100 eh,6-80,,
19-7,lhsesaV elkys ¼1%4½ ls bZV o elkys ls esu gky dk fuekZ.k djuk,,,,
,19-7-1 vanj dk vkdkj 90x80cmrFkk 45cmxgjk,izR;sd,2-92,,
,19-7-2 vanj dk vkdkj 120x90cmrFkk 45cmxgjk,izR;sd,4-73,,
,&19-7-3,,,,
19-8,"esugky dh xgjkbZ ds fy, vfrfjDr",,,,
,19-8-1 vkdkj90x80cm,ehVj,1-26,,
,19-8-2 vkdkj 120x90cm,ehVj,1-52,,
19-9,0-91 ehVj ds vUr% O;kl rFkk 0-56 ehVj ds Åij ds O;kl lhesaV ¼1%4½ elkys esa bZV eSlujh /kqekonkj izdkj ds esugksy dk fuekZ.k djuk,,,,
,19-9-1 0-91 ehVj xgjk,izR;sd,2-75,,
19-10,0-91 ehVj ds vUnj ds O;kl ¼ry ij½ rFkk 0-56 ehVj dk,,,,
,"/kqekonkj esugky ds fy, 0-91 ehVj ls 1-67 ehVj ds lkFk ij vfrfjDr xgjkbZA",ehVj,1-40,,
19-11,"Rky ¼uhps dh vksj½ ij 1-22 ehVj ds vUr% O;kl ,oa 0-56 mij dh vksj lhesaV elkys ¼1%4½ lfgr bZaV elkys ls /kqekonkj esugksy dk fuekZ.k djukA",izR;sd,5-39,,
19-12,1-22 ehVj ds vUr% O;kl ¼lrg ij½ 1-68 ehVj ls 2-29 ehVj ds ijs /kqekonkj izdkj ds esugksy gsrq vfrfjDr xgjkbZA,ehVj,1-43,,
19-13,1-52 ehVj ds vUr ds O;kl ¼lrg ij½ 0-56 ehVj O;kl ¼Åij dh vksj½ lhesaV elkys ¼1%4½ lfgr bZaV elkys ls /kqekonkj esugksy dk fuekZ.k djuk 2-30 eh- xgjk,izR;sd,10-86,,
19-14,1-52 ehVj ds vUr% O;kl ¼lrg ij½ 2-30 ehVj ds ijs bZaV elkys ls /kqekonkj izdkj ds esugksy dk fuekZ.k djukA,ehVj,3-11,,
19-15,20×20×20cmdadjhV ds [kakps¼1%3%6½ ds lkFkMS ik;nkuksa dh O;oLFkk] esugksy esa yxkus lfgr] djukA,100 ux,0-88,,
19-16,larjh jax ds lqjf{kr ik;nku dh O;oLFkk djukA,100 ux,1-98,,
19-17,20×20×20cmds lh lh ds [kakps¼1%3%6½ feJ.k ds lkFk esugksy esa,,,,
,MS ik;nku dks cnyukA,100 ux,0-88,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
20-1,lhesaV dadjhV xzsMM25esa LFkw.kk ljny ds uhps LoLFkkus izcfyr lhesaV ls LFkw.kksa dh O;oLFkk djuk o yxkukA,,,,
,20-1-1 400 feeh O;kl ikbYl,ehVj,0-414,,
,20-1-2 450 feeh O;kl ikbYl,ehVj,0-525,,
,20-1-3 500 feeh O;kl ikbYl,ehVj,0-648,,
,20-1-4 550 feeh O;kl ikbYl,ehVj,0-784,,
,20-1-5 750 feeh O;kl ikbYl,ehVj,1-456,,
,20-1-6 1000 feeh O;kl ikbYl,ehVj,2-590,,
,20-1-7 1200 feeh O;kl ikbYl,ehVj,3.729,,
,20-1-8 1500 feeh O;kl ikbYl,ehVj,5.83,,
20-2,"LoLFkkus izcfyr lhesaV dadjhVikbYl&xzsMM25 dh cksfjax] dkLV dh VªkbZikM vkSj eSdsfudy foap e”khu dk iz;ksx djrs gq, O;oLFkk djuk o yxkuk rFkk [kksnuk",,,,
,20-2-3 450 feeh O;kl ikbYl,ehVj,0-525,,
,20-2-4 500 feeh O;kl ikbYl,ehVj,0-648,,
,20-2-5 600 feeh O;kl ikbYl,ehVj,0-932,,
,20-2-6 750 feeh O;kl ikbYl,ehVj,1-456,,
20-2d,"LoLFkkaus izcfyr lhesaV daØhV ikbYl&xzsM ,e- 25 dh cksfjax ØkLV dh Økoyj ekm.VsM VsyhLdksfid cwe gkbMªksfyd ikbfyax fjax dh O;oLFkk djuk] yxkuk o [kksnuk",,,,
,20-2-d-1 600 feeh O;kl ikbYl,ehVj,0.932,,
,20-2-d-2 750 feeh O;kl ikbYl,ehVj,1-456,,
,20-2-d-3 1000 feeh O;kl ikbYl,ehVj,2.590,,
,20-2-d-4 1200 feeh O;kl ikbYl,ehVj,3.729,,
,20-2-d-5 1500 feeh O;kl ikbYl,ehVj,5-830,,
20-3,"xzsMM25 dh fjEM+ ikbYl ds v/khu LoLFkkus ,dy dkLV ¼jpuk½ dh O;oLFkk djuk o yxkuk rFkk uydwi [kksnuk",,,,
,20-3-1 300 feeh O;kl ikbYl,ehVj,0-257,,
,20-3-2 400 feeh O;kl ikbYl,ehVj,0-488,,
,20-3-3 450 feeh O;kl ikbYl,ehVj,0-629,,
,20-3-4 550 feeh O;kl ikbYl,ehVj,0-792,,
20-4,jhEM ikbYl ds rgr~ vfrfjDr cYc dh O;oLFkk gsrq vfrfjDr,,,,
,20-4-1 300 feeh O;kl ikbYl,izR;sd,0-109,,
la0,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",,
26-38,"vuqeksfnr Nki dk vuqeksfnr fMt+kbu feDl dadzhV “kkWVdzhfVax vkj- lh- lh- dkWye] cheksa ,oa LyScks bR;kfn ds fy;sA",,,,
,"26-38-1 de ls de 330 fdxzk0 izfr ?ku ehVj dh lhesaV ds lkFk ,e&25 xzsM 25 feeh eksVkA",100 oxZ eh0,10-31,,
,"26-38-2 de ls de 330 fdxzk0 izfr ?ku ehVj dh lhesaV ds lkFk ,e&25 xzsM 50 feeh eksVkA",100 oxZ eh0,20-63,,
,"26-38-3 de ls de 330 fdxzk0 izfr ?ku ehVj dhs lhesaV ds lkFk ,e&25 xzsM 75 feeh eksVkA",100 oxZ eh0,30-94,,
26-46,"200 feeh eksVk QSDVªh esa fufeZr ,DliSUMSM ikfyLVjhu dksj ¼bZ ih ,l dksj½ dh lEiwfrZ 50 feeh eksVk lhesaV elkyk 1%3 ¼1 lhesaV% 3 eksVk jsr½",100 oxZ eh0,51-00,,
26-47,"230 feeh eksVk QSDVªh esa fufeZr ,Dl iSUMSM ikfyLVjhu dksj ¼bZ ih ,l dksj½ dh lEiwfrZ 50 feeh eksVk lhesaV elkyk 1%3 ¼1 lhesaV% 3 eksVk jsr½ lhesaV dadzhV 1%1%5%3 ¼1 lhesaV% 1-5 eksVk jsr% 3 vuqikfrr feykok 20 feeh ukih; ukiokyk½",100 oxZ eh0,58-60,,
26-53,lhesaV ds lkFk feyk gqvk Dokjh èkqy ds lkFk [kkyh dsfofV dks HkjukA,?ku eh-,0-72,,
26-58,vkj lh lh ÇIyFk fce@¶yksj LySc vkSj ckgjh nhokjksa dk nhokj iSuy ds chp TokbaV dks HkjukA,100 eh-,0-03125,,
26-59,njokts ds Ýse] f[kM+dh vkSj osafVysVj ds Ýseksa ds chp oÆVdy TokbaVl dk tyjks/kd VªhVesaV A,100 eh-,0-03125,,
26-61,vkj lh lh ÇyVay lUlsM vkSj nhokj ds chp TokbaV Hkjuk@can djuk,100 eh-,0-03125,,
26-66,"ih@,Q QSDVjh fufeZr bZ- ih- ,l- nhokj iSuy ftlesa nks vfHk;kaf=d “khVksa ds chp lsaMfop fd;k gqvk Ã ih ,l dksj ‘kkfey gSA",oxZ eh-,0-357,,
26-68,"ih@,Q QSDVjh fuÆer çhdkLV daØhV lksfyM Cy‚d QkmaMs’ku vkSj dqlhZ esa",?ku eh-,0-2825,,
26-69,"ih@,Q QSDVjh fuÆer çhdkLV daØhV lksfyM Cy‚d ¶yksj ,d ls ikap Lrj rd dqlhZry ds Åij lqij LVªDpj esa",?ku eh-,0-2825,,
26-70,QkmaMs’ku vkSj dqlhZ esa QSDVjh fuÆer çhdkLV daØhV lksfyM Cy‚d ds lkFk vkèks Cy‚d dk phukÃ miyCèk djkuk A,100 oxZ eh-,2-6904,,
26-71,"¶yksj ,dls ikap Lrj rd dalhZ ds Åij lqij LVªDpj esa QSDVjh fuÆer çhdkLV daØhV lksfyM Cy‚d ds lkFk vkèks Cy‚d dk phukÃ miyCèk djkuk A",100 oxZ eh-,2-6904,,
26-73-1,"daØhV xzsM ,e&40 dk iwoZ ls nck, gq, [kks[kyk dksj LySc ¼lhesaV dh ek=k 400 fd-xzk-½ dksj LySc dk fuekZ.k ,oa QSfczds”ku",,,,
,26-73-1-1 100 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-36,,
No.,,,,,per unit quantity of work(Quintals)
,,4.20A.1.3,Concrete of M20 grade with minimum,,
,,,cement content of 270 kg /cum,cum,2.70
,,4.20A.1.4,Concrete of M25 grade with minimum,,
,,,cement content of 300 kg /cum,cum,3.00
,4.20A.2,All works a,bove plinth and upto floor V level,,
,,4.20A.2.1,Concrete of M10 grade with minimum cement content of 220 kg /cum,cum,2.20
,,4.20A.2.2,Concrete of M15 grade with minimum,,
,,,cement content of 240 kg /cum,cum,2.40
,,4.20A.2.3,Concrete of M20 grade with minimum,,
,,,cement content of 270 kg /cum,cum,2.70
,,4.20A.2.4,Concrete of M25 grade with minimum,,
,,,cement content of 300 kg /cum,cum,3.00
No.,,,per unit quantity of work(Quintals),,
5.4A,"R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in kerbs, steps etc.",cum,4.00,,
5.5,"R.C.C. (1:1.5 coarse sand(zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) work in arches,domes etc.",cum,4.00,,
5.A,"R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in arches,domes etc.",cum,4.00,,
5.6,R.C.C. (1:1.5 coarse sand(zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) work in chimneys & shafts.,cum,4.00,,
5.6A,R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in chimneys & shafts.,cum,4.00,,
5.7,R.C.C. (1:1.5coarse sand(zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) work in well-steining.,cum,4.00,,
5.7A,R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in well-steining.,cum,4.00,,
5.8,"R.C.C. (1:1.5coarse sand(zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) work in vertical and horizontal fins individually or forming box louvers, facias and eaves boards.",cum,4.00,,
5.8A,"R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20%: 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in vertical and horizontal fins individually or forming box louvers, facias and eaves boards.",cum,4.00,,
,PRE - CAST R.C.C.,,,,
5.12,"P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) work in string courses, bands, copings, bed plates, anchor blocks, plain window sills etc.",cum,4.00,,
No.,,,per unit quantity of work(Quintals),,
5.12A,"P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) work in string courses, bands, copings, bed plates, anchor blocks, plain window sills etc.",cum,4.00,,
5.13,P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) in small lintels not exceeding 1.5m clear span.,cum,4.00,,
5.13A,P/F precast R.C.C. (1:1.5 including manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 20%) in small lintels not exceeding 1.5m clear span.,cum,4.00,,
5.14,"P/F precast R.C.C. (1:1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources) in mouldings as in cornices, windows sills etc.",cum,4.00,,
